# see for latest versions
# https://www.ibm.com/docs/en/cloud-paks/cp-integration/16.1.0?topic=cluster-mirroring-images-bastion-host
# https://www.ibm.com/docs/en/cloud-paks/cp-integration/16.1.0?topic=reference-operator-instance-versions-this-release
# https://www.ibm.com/docs/en/cloud-paks/cp-integration/16.1.0?topic=images-adding-catalog-sources-cluster#export-commands
# https://github.com/IBM/ibm-cert-manager-operator/releases
# https://github.com/IBM/ibm-licensing-operator/releases
# https://github.com/IBM/cloud-pak/tree/master/repo/case
#
ibm-integration-platform-navigator      7.3.20
ibm-integration-asset-repository        1.7.16
ibm-apiconnect                          5.7.0
ibm-appconnect                          12.0.18
ibm-mq                                  3.2.19
ibm-eventstreams                        12.1.0
ibm-eventendpointmanagement             11.7.0
ibm-eventprocessing                     1.4.5
ibm-eventautomation-flink               1.4.5
ibm-datapower-operator                  1.11.8
ibm-aspera-hsts-operator                1.5.18
ibm-cp-common-services                  4.6.19
ibm-cloud-native-postgresql             6.2.0
ibm-cert-manager                        4.2
ibm-licensing                           4.2
